0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15
0.10	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.16
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.16
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17
0.10	0.11	0.12	0.12	0.13	0.13	0.14	0.14	0.15	0.17
0.10	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18
0.10	0.11	0.12	0.12	0.13	0.13	0.14	0.14	0.15	0.19
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.19
0.10	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.20
0.10	0.15	0.18	0.23	0.28	0.25	0.22	0.22	0.20	0.20
0.10	0.30	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.21
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21
0.10	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.22
0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22
